City,Country,Cloudiness,Humidity,Lat,Lon,Temperature,Wind Speed
Port-Cartier,CA,75,40,50.0257,-66.8819,53.6,4.7
Verkh-Chebula,RU,46,78,56.0294,87.6103,50.49,3.4
Buraydah,SA,20,39,26.3317,43.9717,82.4,8.05
Rock Springs,US,90,70,41.5869,-109.2048,44.6,12.75
Hualmay,PE,78,91,-11.0968,-77.613,65.97,16.98
Chadiza,ZM,0,70,-14.0615,32.4345,62.73,8.08
Sembakung,ID,75,88,3.8167,117.25,80.6,4.7
Pangody,RU,100,97,65.85,74.4859,32.85,10.07
Garowe,SO,97,68,8.4061,48.4832,79.11,14.72
Acajutla,SV,82,75,13.5905,-89.8329,78.01,1.01
Teya,MX,40,41,21.0486,-89.0739,95.52,9.17
Pilar,AR,0,87,-34.4571,-58.9142,55.36,2.24
Farah,AF,4,16,32.3741,62.1146,80.37,4.61
Grand Gaube,MU,75,94,-20.0064,57.6608,75.11,10.29
East London,ZA,49,22,-33.0153,27.9116,75.15,9.84
Ban Nahin,LA,51,76,18.2418,104.2122,80.55,1.36
Beringovskiy,RU,76,90,63.05,179.3167,30.69,7.31
Rodrigues Alves,BR,0,83,-7.7381,-72.651,80.6,1.81
Coihaique,CL,0,91,-45.5753,-72.0662,35.38,3.36
Amapa,HN,75,62,15.0877,-87.9726,89.6,14.99
Laukaa,FI,0,71,62.4167,25.95,55.18,2.24
Boke,GN,98,66,10.9522,-14.2761,80.55,5.03
Selma,US,75,45,36.5708,-119.6121,59.92,11.41
Anadyr,RU,90,74,64.7317,177.5061,33.4,11.18
Peleduy,RU,24,77,59.6253,112.7502,43.47,3.2
Anchorage,US,75,58,61.2163,-149.8949,57.43,9.17
Westerland,NL,90,100,52.8941,4.9311,53.96,9.17
Vila Velha,BR,75,83,-3.7125,-38.6045,77.88,4.7
Adrar,DZ,82,11,27.8734,-0.2875,95,20.8
Shymkent,KZ,0,82,42.3147,69.5883,59,11.18
Tacuarembo,UY,96,93,-31.7334,-55.9834,62.91,4.97
Sola,NO,0,93,58.8861,5.6489,52.68,4.7
Bandarbeyla,SO,56,74,9.4942,50.8122,80.73,10.49
Viedma,AR,42,59,-40.8086,-62.9947,53.73,8.23
La Salle,US,90,72,41.3334,-89.0918,65.79,16.11
Clyde River,CA,90,100,70.4692,-68.5915,26.6,12.75
Haines Junction,CA,30,28,60.7527,-137.5101,56.61,10.38
Honningsvag,NO,1,82,70.9821,25.9704,38.07,13.13
Yandyki,RU,98,42,45.7691,47.1258,64.71,4.52
Fort-Shevchenko,KZ,100,54,44.5086,50.263,64.17,14
Port Lincoln,AU,19,75,-34.7212,135.8592,63.09,19.33
Iqaluit,CA,90,80,63.7494,-68.5219,33.39,9.17
Alekseyevka,RU,20,74,53.2482,50.49,37.4,6.71
Macae,BR,90,100,-22.3709,-41.787,70.83,2.24
Manaus,BR,75,88,-3.1317,-59.9826,78.8,2.24
Ushtobe,KZ,33,64,45.2514,77.9838,63.45,13.13
Vardo,US,75,78,39.6165,-77.7392,75.9,8.05
Sirjan,IR,92,61,29.4448,55.6713,62.73,8.43
Wairoa,NZ,2,62,-39.0394,177.4271,63,4
Frunze,UA,34,85,46.832,29.8828,61.29,6.13
Betanzos,ES,0,87,43.2792,-8.2107,48.65,1.12
Ugoofaaru,MV,31,71,5.6667,73,85.23,7.52
Huai Yot,TH,86,94,7.7893,99.6348,76.77,1.36
Kinkala,CG,45,83,-4.347,14.7549,78.8,2.24
Padang,ID,100,73,-0.9248,100.3633,82.71,5.19
Linhares,BR,0,85,-19.3817,-40.0613,69.75,1.86
Ongandjera,NA,0,33,-17.8834,15.0667,64.53,8.66
Mardin,TR,0,44,37.324,40.7214,59.31,3.94
Shahr-e Kord,IR,40,58,32.3257,50.8497,55.4,13.87
Shangqiu,CN,64,27,34.4171,115.6509,68,1.01
Harnosand,SE,18,93,62.6323,17.9379,44.74,3.36
Washington DC.,US,1,48,38.895,-77.0367,84.42,8.05
Ruidoso,US,1,14,33.3316,-105.6731,70.41,17.22
Kuching,MY,75,100,1.5574,110.344,77,1.12
Yelan-Kolenovskiy,RU,3,89,51.1632,41.1465,48.69,5.84
Inverell,AU,82,57,-29.7761,151.1129,63.03,3
Banepa,NP,20,88,27.6323,85.5216,64.4,4.7
Vostok,RU,100,90,46.448,135.8294,54.99,7.85
Nakasongola,UG,97,93,1.3156,32.4639,64.53,3.29
Ekibastuz,KZ,76,70,51.7229,75.317,49.41,7.27
San Juan,AR,77,47,-31.5372,-68.5251,46.53,2.91
Fairbanks,US,90,34,64.8378,-147.7167,64.92,3.36
Kampot,KH,40,83,10.6183,104.1797,80.55,4.7
Nabinagar,BD,75,83,23.8847,90.97,78.8,4.7
Mweka,CD,72,81,-4.8477,21.5612,72.63,0.54
Broome,GB,100,100,52.4688,1.4544,51.21,4.7
Winslow,GB,49,87,51.9444,-0.882,54.5,5.82
Pirenopolis,BR,0,63,-15.8525,-48.9592,66.2,9.17
Magadan,RU,41,61,59.5605,150.7989,41.67,13.13
Manadhoo,MV,29,69,5.7667,73.3833,85.77,6.64
Bud,NO,7,87,62.9088,6.9145,48.97,3.36
Camocim,BR,100,95,-2.9006,-40.8429,75.51,6.42
Whithorn,JM,75,69,18.2604,-78.0379,79.27,6.93
Tucurui,BR,95,97,-3.7662,-49.6726,74.79,3.15
Eirunepe,BR,75,94,-6.6603,-69.8737,73.53,1.28
Lagos,NG,20,94,6.4551,3.3942,80.6,7.05
Huarmey,PE,69,90,-10.0688,-78.1522,66.51,17.81
Sangar,RU,49,47,63.9236,127.4668,37.53,12.68
Okhotsk,RU,0,46,59.3644,143.2411,56.79,7.54
Coruripe,BR,86,96,-10.125,-36.1761,72.81,5.57
Black Diamond,CA,90,49,50.6878,-114.2336,48.9,13.87
Lompoc,US,90,87,34.6392,-120.458,58.01,14.99
Takoradi,GH,98,88,4.8874,-1.752,77.67,4.05
Lages,BR,0,96,-27.8166,-50.3259,55.35,1.81
Thinadhoo,MV,100,70,0.5333,72.9333,86.49,10.45
Helong,CN,64,89,25.9445,116.1341,74.43,7.16
Boende,CD,82,80,-0.2837,20.8826,73.89,2.64
Prince Rupert,CA,1,55,54.3161,-130.3202,64.4,5.82
Shakiso,ET,93,98,5.7746,38.9029,56.25,2.01
Ouadda,CF,91,82,8.0716,22.3962,73.89,9.51
Vila Franca do Campo,PT,40,82,37.7167,-25.4334,62.6,10.29
Saint-Georges,CA,100,94,46.123,-70.672,49.73,5.01
Okakarara,NA,0,44,-20.5904,17.4582,54.99,3.94
Mindelo,PT,0,93,41.3135,-8.723,52.54,5.82
Novaya Ladoga,RU,85,63,60.1052,32.3148,54,15.88
Navalmoral de la Mata,ES,100,44,39.8928,-5.5402,50.67,4.83
Halifax,CA,90,58,44.6491,-63.5752,50.02,9.17
Yulara,AU,1,82,-25.2411,130.9869,64.4,6.93
Lewistown,US,75,72,40.3931,-90.1549,66.22,27.51
Mareeba,AU,40,88,-16.9916,145.4227,71.33,10.29
Paita,PE,95,89,-5.0851,-81.1138,69.75,18.97
Beaverlodge,CA,40,32,55.2106,-119.4287,68,14.99
Kaduqli,SD,100,49,11.0086,29.7156,85.41,3.09
Leshukonskoye,RU,26,88,64.8989,45.7622,29.61,6.31
Gemena,CD,79,70,3.2549,19.7751,73.53,3.38
Borogontsy,RU,0,29,62.6708,131.1661,41.67,5.93
Vila do Maio,CV,75,73,15.1333,-23.2167,73.4,13.87
Inirida,CO,94,97,3.8653,-67.9239,75.33,1.07
Gondanglegi,ID,40,85,-7.7479,112.0132,77.31,7.25
Sao Miguel do Araguaia,BR,0,66,-13.275,-50.1628,75.69,4.23
Tuy Hoa,VN,44,64,13.0833,109.3,84.51,5.53
Joshimath,IN,0,20,30.5667,79.5667,44.55,7.96
Chimbote,PE,61,91,-9.0784,-78.5901,66.33,15.61
Mbanza-Ngungu,CD,76,99,-5.2501,14.8667,71.73,3.76
Sibolga,ID,100,77,1.737,98.7846,81.81,7
Mineiros,BR,0,74,-17.5654,-52.5537,65.25,6.42
Wilmington,US,1,69,39.7459,-75.5466,78.66,3.36
Kindu,CD,100,85,-2.9494,25.9184,71.01,2.35
Zhigansk,RU,4,79,66.7656,123.3741,22.23,7.92
Palmer,AU,75,67,-34.8528,139.1601,58.33,12.75
Port Augusta,AU,0,66,-32.4909,137.764,55.4,6.93
Pampierstad,ZA,0,27,-27.7767,24.6894,61.11,11.63
